id,organization_id,date,program_id,program_name,amount,payment_method,check_number,description,is_expense,created_at,updated_at
C015857_019,C015857,2025-01-20,membership_dues,Membership Dues,45.24,square,,Dues Square,false,2025-01-20T00:00:00,2025-01-20T00:00:00
C015857_020,C015857,2025-01-20,membership_dues,Membership Dues,34.90,square,,Dues Square,false,2025-01-20T00:00:00,2025-01-20T00:00:00
C015857_021,C015857,2025-01-21,C015857_unbound,Unbound,100.00,debit_card,,Unbound Birthday Gift,true,2025-01-21T00:00:00,2025-01-21T00:00:00
C015857_022,C015857,2025-01-27,membership_dues,Membership Dues,45.24,square,,Dues Square,false,2025-01-27T00:00:00,2025-01-27T00:00:00
C015857_023,C015857,2025-01-28,membership_dues,Membership Dues,205.00,check,,Dues,false,2025-01-28T00:00:00,2025-01-28T00:00:00
C015857_024,C015857,2025-01-28,C015857_membership_expenses,Membership Expenses,403.79,debit_card,,Supreme - council kiosk books,true,2025-01-28T00:00:00,2025-01-28T00:00:00
C015857_025,C015857,2025-01-28,council_insurance,Council Insurance,181.13,debit_card,,Lockton Affinity,true,2025-01-28T00:00:00,2025-01-28T00:00:00
C015857_026,C015857,2025-01-28,C015857_1753034113931,Movie Knight,81.56,check,,Mike Staiano - movie supplies,true,2025-01-28T00:00:00,2025-01-28T00:00:00
C015857_027,C015857,2025-01-28,C015857_membership_expenses,Membership Expenses,169.95,check,,Roy Davis - council shirts,true,2025-01-28T00:00:00,2025-01-28T00:00:00
C015857_028,C015857,2025-01-31,interest,Interest,0.59,interest,,Interest Earned,false,2025-01-31T00:00:00,2025-01-31T00:00:00
C015857_029,C015857,2025-01-07,membership_dues,Membership Dues,34.90,square,,Dues Square,false,2025-01-07T00:00:00,2025-01-07T00:00:00
C015857_030,C015857,2025-02-06,membership_dues,Membership Dues,45.24,square,,Dues Square,false,2025-02-06T00:00:00,2025-02-06T00:00:00
C015857_031,C015857,2025-01-31,C015857_football_crazr,Football Crazr,180.00,cash,,Dues/FundCrazr Transfer,false,2025-01-31T00:00:00,2025-01-31T00:00:00
C015857_032,C015857,2025-01-31,membership_dues,Membership Dues,180.00,cash,,Dues/FundCrazr Transfer,true,2025-01-31T00:00:00,2025-01-31T00:00:00
C015857_033,C015857,2025-02-10,membership_dues,Membership Dues,35.00,cash,,Dues,false,2025-02-10T00:00:00,2025-02-10T00:00:00
C015857_034,C015857,2025-02-10,C015857_football_crazr,Football Crazr,10.00,cash,,Fundcrazr,false,2025-02-10T00:00:00,2025-02-10T00:00:00
C015857_035,C015857,2025-02-10,C015857_parish_breakfast,Parish Breakfast,744.70,square,,Burritos square,false,2025-02-10T00:00:00,2025-02-10T00:00:00
C015857_036,C015857,2025-02-11,C015857_parish_breakfast,Parish Breakfast,1368.00,cash,,Burrito Sales,false,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_037,C015857,2025-02-04,council_insurance,Council Insurance,64.00,debit_card,,USPS - Annual PO Box,true,2025-02-04T00:00:00,2025-02-04T00:00:00
C015857_038,C015857,2025-02-11,C015857_parish_breakfast,Parish Breakfast,1009.05,check,,Randy Wilson - BUrrito supplies,true,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_039,C015857,2025-02-11,council_insurance,Council Insurance,5.00,check,,Shawn McPeek - Council Trade Name,true,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_040,C015857,2025-02-11,membership_dues,Membership Dues,45.00,check,,Membership Dues,false,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_041,C015857,2025-02-11,C015857_disaster_relief,Disaster Relief,500.00,debit_card,,KofC Disaster Relief - California Fires,true,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_042,C015857,2025-02-11,C015857_seminarian_donations,Seminarian Donations,500.00,check,,Daniel Rivas - RSVP,true,2025-02-11T00:00:00,2025-02-11T00:00:00
C015857_043,C015857,2025-02-26,membership_dues,Membership Dues,45.00,square,,Square dues,false,2025-02-26T00:00:00,2025-02-26T00:00:00
C015857_044,C015857,2025-02-25,C015857_1753034113931,Movie Knight,35.00,cash,,Movie Night Donations,false,2025-02-25T00:00:00,2025-02-25T00:00:00
C015857_045,C015857,2025-02-26,membership_dues,Membership Dues,45.00,check,,Membership Dues,false,2025-02-26T00:00:00,2025-02-26T00:00:00
C015857_046,C015857,2025-02-27,membership_dues,Membership Dues,43.27,square,,square dues,false,2025-02-27T00:00:00,2025-02-27T00:00:00
C015857_047,C015857,2025-03-03,C015857_rsvp_fundraiser,RSVP Fundraiser,45.24,square,,Square dues,false,2025-03-03T00:00:00,2025-03-03T00:00:00
C015857_048,C015857,2025-02-28,membership_dues,Membership Dues,50.00,cash,,Dues/FundCrazr Transfer,true,2025-02-28T00:00:00,2025-02-28T00:00:00
C015857_049,C015857,2025-02-25,C015857_football_crazr,Football Crazr,50.00,cash,,Dues/FundCrazr Transfer,false,2025-02-25T00:00:00,2025-02-25T00:00:00
C015857_050,C015857,2025-02-28,convention,Convention,165.00,debit_card,,State Convention - Ron Elsis,true,2025-02-28T00:00:00,2025-02-28T00:00:00
C015857_051,C015857,2025-02-28,interest,Interest,0.56,interest,,Interest Earned,false,2025-02-28T00:00:00,2025-02-28T00:00:00
C015857_052,C015857,2025-02-28,C015857_1753669226588,Donations Received,25.00,debit_card,,TBK - Debit Card bonus return,false,2025-02-28T00:00:00,2025-02-28T00:00:00
C015857_053,C015857,2025-03-11,C015857_fish_fry,Fish Fry,206.14,check,,Fish Fry - Rich Chopyak,true,2025-03-11T00:00:00,2025-03-11T00:00:00
C015857_054,C015857,2025-03-11,C015857_fish_fry,Fish Fry,875.24,check,,Fish Friy - Norm Finke,true,2025-03-11T00:00:00,2025-03-11T00:00:00
C015857_055,C015857,2025-03-11,membership_dues,Membership Dues,125.00,check,,Dues,false,2025-03-11T00:00:00,2025-03-11T00:00:00
C015857_056,C015857,2025-03-11,C015857_fish_fry,Fish Fry,920.00,cash,,Fish Friy Donations,false,2025-03-11T00:00:00,2025-03-11T00:00:00
C015857_057,C015857,2025-03-17,C015857_fish_fry,Fish Fry,87.26,square,,Square fish fry,false,2025-03-17T00:00:00,2025-03-17T00:00:00
C015857_058,C015857,2025-03-17,C015857_fish_fry,Fish Fry,67.88,square,,Square fish fry,false,2025-03-17T00:00:00,2025-03-17T00:00:00
C015857_059,C015857,2025-03-24,C015857_fish_fry,Fish Fry,19.38,square,,Square fish fry,false,2025-03-24T00:00:00,2025-03-24T00:00:00
C015857_060,C015857,2025-03-24,C015857_fish_fry,Fish Fry,244.45,square,,Square fish fry,false,2025-03-24T00:00:00,2025-03-24T00:00:00
C015857_061,C015857,2025-03-31,C015857_fish_fry,Fish Fry,19.38,square,,Square fish fry,false,2025-03-31T00:00:00,2025-03-31T00:00:00
C015857_062,C015857,2025-03-31,C015857_fish_fry,Fish Fry,127.87,square,,Square fish fry,false,2025-03-31T00:00:00,2025-03-31T00:00:00
C015857_063,C015857,2025-03-31,interest,Interest,0.62,interest,,Interest earned,false,2025-03-31T00:00:00,2025-03-31T00:00:00
C015857_064,C015857,2025-03-17,convention,Convention,30.00,check,,Conference Refund,false,2025-03-17T00:00:00,2025-03-17T00:00:00
C015857_065,C015857,2025-03-12,convention,Convention,195.00,debit_card,,Conference,true,2025-03-12T00:00:00,2025-03-12T00:00:00
C015857_066,C015857,2025-03-12,bank_charges,Bank Charges,334.41,debit_card,,Square Terminal,true,2025-03-12T00:00:00,2025-03-12T00:00:00
C015857_067,C015857,2025-04-08,C015857_fish_fry,Fish Fry,970.53,check,,Norm Finke - Fish Fry,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_068,C015857,2025-04-08,C015857_1753034113931,Movie Knight,159.10,check,,Mike Staiano - Movie Knight Food,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_069,C015857,2025-04-08,C015857_fish_fry,Fish Fry,141.26,check,,Rich Chopyak - Fish Fry Supplies,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_070,C015857,2025-04-08,C015857_membership_expenses,Membership Expenses,187.90,check,,Shawn McPeek - Membership Banner,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_071,C015857,2025-04-08,C015857_1753034113931,Movie Knight,12.98,check,,Shawn McPeek - Movie Night supplies,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_072,C015857,2025-04-08,C015857_1753034113931,Movie Knight,330.81,check,,Christian Video Licensing International,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_073,C015857,2025-04-08,C015857_rsvp_fundraiser,RSVP Fundraiser,100.00,check,,RSVP Refund from Supreme,false,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_074,C015857,2025-04-01,C015857_1753669226588,Donations Received,50.00,check,,Guardian Angels - Food Drive,false,2025-04-01T00:00:00,2025-04-01T00:00:00
C015857_075,C015857,2025-04-01,C015857_fish_fry,Fish Fry,50.00,check,,Guardian Angels - Fish Fry,false,2025-04-01T00:00:00,2025-04-01T00:00:00
C015857_076,C015857,2025-04-01,C015857_fish_fry,Fish Fry,230.00,check,,Fish Fry Checks,false,2025-04-01T00:00:00,2025-04-01T00:00:00
C015857_077,C015857,2025-04-01,C015857_fish_fry,Fish Fry,2719.00,cash,,Fish Fry Cash,false,2025-04-01T00:00:00,2025-04-01T00:00:00
C015857_078,C015857,2025-04-08,C015857_membership_expenses,Membership Expenses,47.66,check,,Jeff Adrian - Family of Month Certificate Frames,true,2025-04-08T00:00:00,2025-04-08T00:00:00
C015857_079,C015857,2025-03-31,membership_dues,Membership Dues,30.00,check,,Dues/FundCrazr Transfer,true,2025-03-31T00:00:00,2025-03-31T00:00:00
C015857_080,C015857,2025-03-31,C015857_football_crazr,Football Crazr,30.00,check,,Dues/FundCrazr Transfer,false,2025-03-31T00:00:00,2025-03-31T00:00:00
C015857_081,C015857,2025-04-14,C015857_fish_fry,Fish Fry,111.51,square,,Square Fish fry,false,2025-04-14T00:00:00,2025-04-14T00:00:00
C015857_082,C015857,2025-04-14,C015857_fish_fry,Fish Fry,208.71,square,,Square Fish fry,false,2025-04-14T00:00:00,2025-04-14T00:00:00
C015857_083,C015857,2025-04-20,C015857_membership_expenses,Membership Expenses,47.02,debit_card,,Council Supplies,true,2025-04-20T00:00:00,2025-04-20T00:00:00
C015857_084,C015857,2025-05-01,C015857_fish_fry,Fish Fry,1063.00,cash,,Fish Fry,false,2025-05-01T00:00:00,2025-05-01T00:00:00
C015857_085,C015857,2025-05-01,convention,Convention,336.62,check,,Antlers Hotel - Ron Elsis room,true,2025-05-01T00:00:00,2025-05-01T00:00:00
C015857_086,C015857,2025-04-28,convention,Convention,336.62,debit_card,,Antlers Hotel - Lou Bustamante room,true,2025-04-28T00:00:00,2025-04-28T00:00:00
C015857_087,C015857,2025-04-30,interest,Interest,0.69,interest,,Interest earned,false,2025-04-30T00:00:00,2025-04-30T00:00:00 
